gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2802480369298872,0,0,0,1,0,0,0,0,1,-1.1616939352451687,-0.9941940877241977,0,0,0,0,0,0,1,0
1,0,0,0,0.06430268518835204,1,0,1,0,1,0,0,0,0,-0.2608779199297494,-0.17373981825040716,0,0,0,1,0,0,0,1
1,0,0,0,-1.239504075653577,1,0,1,1,0,0,0,0,1,-0.3639232943754247,-0.9596491092068434,1,0,0,0,0,0,0,1
1,0,0,0,0.5124862592277651,0,0,1,0,1,1,0,0,0,-0.7478504152939892,-0.19524770717404724,0,0,0,1,0,0,0,0
0,0,0,0,-1.239504075653577,1,0,0,0,0,0,0,0,1,0.19617817640187485,-0.94045745447498,1,1,0,0,0,0,1,0
0,0,0,0,-0.9950403079957153,1,1,0,0,1,0,1,1,1,1.1584890119510038,-0.6453692184426381,1,1,0,0,0,0,1,0
1,0,0,1,-0.42462485012737133,1,1,0,1,0,0,1,0,1,0.8078023344020117,-0.14731268909089856,0,1,0,0,0,1,0,0
0,0,0,0,-0.9135523854430947,0,0,1,0,0,0,0,0,0,-1.165017979582126,-0.8741690378436584,0,0,0,0,0,0,0,1
0,0,1,0,-0.18016108246950965,1,1,0,0,1,1,1,1,1,1.3296772953043028,0.3365155445113559,1,1,0,0,0,0,1,0
1,0,0,1,1.20513360092504,1,0,1,1,0,0,0,0,0,-0.28747027462540764,0.5314762853391826,0,0,0,1,0,0,0,0
1,0,1,1,-0.7913205016141639,1,0,1,0,0,0,0,0,1,-0.493561023516758,-0.7481879571842651,0,0,0,0,0,0,0,1
